record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by
ATT0006535,07-02-2026,SCH-0404,4,151,117,0,Clerk
ATT0008370,18-05-2025,SCH-0381,2,277,246,1,Clerk
ATT0013583,11-03-2026,SCH-0293,10,92,58,1,Class Teacher
ATT0004075,24-01-2026,SCH-0582,5,108,100,0,Headmaster
ATT0012083,06-05-2025,SCH-0215,3,294,177,1,Clerk
ATT0001706,04-10-2025,SCH-0201,2,146,113,1,Class Teacher
ATT0011106,27-12-2025,SCH-0204,8,185,112,1,Not Recorded
ATT0002725,21-03-2026,SCH-0135,5,275,283,1,Headmaster
ATT0009163,02-07-2025,SCH-0108,3,291,204,1,Headmaster
ATT0000477,08-11-2025,SCH-0272,10,202,135,1,Admin
ATT0012289,20-07-2025,SCH-0474,7,273,188,0,Class Teacher
ATT0016304,20-07-2025,SCH-0383,4,120,93,1,Headmaster
ATT0008910,12-08-2025,SCH-0236,6,148,114,1,Not Recorded
ATT0019783,10-02-2026,SCH-0276,7,206,206,1,Clerk
ATT0015990,14-05-2025,SCH-0015,3,159,118,1,Class Teacher
ATT0017233,10-08-2025,SCH-0222,9,217,217,1,Class Teacher
ATT0012545,12-06-2025,SCH-0013,8,257,174,1,Headmaster
ATT0014067,16-07-2025,SCH-0584,5,204,212,1,Headmaster
ATT0006199,08-04-2025,SCH-0030,2,258,166,0,Headmaster
ATT0017206,12-01-2026,SCH-0535,2,80,73,0,Headmaster
ATT0016592,30-03-2026,SCH-0198,1,54,40,1,Class Teacher
ATT0005036,26-09-2025,SCH-0381,4,178,158,1,Admin
ATT0012760,20-12-2025,SCH-0121,2,260,213,1,Headmaster
ATT0000971,05-05-2025,SCH-0328,5,124,116,1,Headmaster
ATT0013057,09-03-2026,SCH-0116,1,253,189,1,Headmaster
ATT0004505,29-09-2025,SCH-0326,1,110,78,0,Not Recorded
ATT0016661,15-07-2025,SCH-0502,10,196,125,1,Clerk
ATT0019012,05-03-2026,SCH-0359,8,217,168,0,Admin
ATT0017109,21-03-2026,SCH-0534,1,78,74,1,Not Recorded
ATT0017136,03-12-2025,SCH-0347,3,89,89,0,Headmaster
ATT0012239,29-09-2025,SCH-0070,9,124,91,1,Not Recorded
ATT0017213,22-12-2025,SCH-0137,10,88,82,1,Admin
ATT0016791,26-04-2025,SCH-0016,2,74,49,1,Headmaster
ATT0006919,11-02-2026,SCH-0507,5,269,257,0,Not Recorded
ATT0010330,10-10-2025,SCH-0043,4,288,175,1,Headmaster
ATT0012961,09-01-2026,SCH-0188,1,237,206,1,Headmaster
ATT0014638,09-10-2025,SCH-0401,4,241,214,0,Admin
ATT0010135,26-12-2025,SCH-0272,9,47,38,0,Admin
ATT0009539,02-06-2025,SCH-0189,4,110,67,1,Admin
ATT0003036,07-10-2025,SCH-0016,1,176,130,1,Headmaster
ATT0009564,29-08-2025,SCH-0456,2,84,73,1,Admin
ATT0019821,08-12-2025,SCH-0077,9,297,289,1,Class Teacher
ATT0000734,05-05-2025,SCH-0023,3,251,161,1,Headmaster
ATT0015747,28-12-2025,SCH-0008,3,171,103,1,Class Teacher
ATT0018065,01-05-2025,SCH-0551,6,120,90,1,Class Teacher
ATT0009388,06-03-2026,SCH-0511,4,264,230,1,Not Recorded
ATT0005684,01-04-2025,SCH-0285,7,133,92,1,Clerk
ATT0007647,28-11-2025,SCH-0578,7,59,48,1,Class Teacher
ATT0010109,14-01-2026,SCH-0321,6,290,180,1,Class Teacher
ATT0015960,18-07-2025,SCH-0291,2,75,72,1,Not Recorded
ATT0014875,21-10-2025,SCH-0132,9,45,63,0,Not Recorded
ATT0002930,18-04-2025,SCH-0134,5,48,35,1,Class Teacher
ATT0015066,16-08-2025,SCH-0072,6,82,53,1,Class Teacher
ATT0017058,08-07-2025,SCH-0294,10,223,202,1,Headmaster
ATT0018634,25-12-2025,SCH-0366,9,71,44,0,Class Teacher
ATT0010446,21-09-2025,SCH-0103,3,285,285,1,Headmaster
ATT0001066,05-09-2025,SCH-0366,4,88,55,1,Headmaster
ATT0019835,26-11-2025,SCH-0412,4,61,66,0,Not Recorded
ATT0007884,20-09-2025,SCH-0205,10,127,91,0,Clerk
ATT0009195,05-01-2026,SCH-0056,1,96,82,0,Headmaster
ATT0012342,18-08-2025,SCH-0344,2,162,151,1,Not Recorded
ATT0018215,12-02-2026,SCH-0183,10,150,91,0,Clerk
ATT0019632,14-11-2025,SCH-0277,1,107,64,1,Clerk
ATT0008286,14-01-2026,SCH-0482,8,41,28,0,Headmaster
ATT0008133,21-07-2025,SCH-0005,9,182,177,0,Headmaster
ATT0017203,18-09-2025,SCH-0343,1,178,172,1,Admin
ATT0013165,31-05-2025,SCH-0580,3,127,113,1,Headmaster
ATT0008886,24-11-2025,SCH-0089,4,124,113,1,Headmaster
ATT0004116,14-09-2025,SCH-0317,2,53,38,1,Headmaster
ATT0001442,23-05-2025,SCH-0165,7,111,79,1,Headmaster
ATT0003534,22-10-2025,SCH-0485,5,168,126,1,Class Teacher
ATT0006434,17-09-2025,SCH-0217,4,273,217,0,Headmaster
ATT0010462,02-10-2025,SCH-0307,3,249,191,1,Headmaster
ATT0003190,21-09-2025,SCH-0269,2,157,157,1,Admin
ATT0016684,02-01-2026,SCH-0509,1,89,70,1,Class Teacher
ATT0002445,30-09-2025,SCH-0431,5,109,83,0,Class Teacher
ATT0007593,02-07-2025,SCH-0280,4,160,105,1,Class Teacher
ATT0008864,06-01-2026,SCH-0567,8,59,54,0,Not Recorded
ATT0016322,11-08-2025,SCH-0211,2,95,78,1,Admin
ATT0004654,11-11-2025,SCH-0444,4,60,45,1,Headmaster
ATT0013666,24-08-2025,SCH-0274,10,78,56,1,Admin
ATT0010426,14-06-2025,SCH-0144,6,112,82,0,Clerk
ATT0010546,05-06-2025,SCH-0210,7,114,109,1,Not Recorded
ATT0018409,29-10-2025,SCH-0149,1,98,88,1,Clerk
ATT0010291,01-07-2025,SCH-0344,3,241,229,1,Not Recorded
ATT0013591,13-05-2025,SCH-0172,3,41,25,1,Admin
ATT0004707,03-03-2026,SCH-0525,9,182,133,1,Admin
ATT0008117,15-07-2025,SCH-0330,1,49,40,1,Class Teacher
ATT0017481,07-02-2026,SCH-0364,2,272,258,1,Clerk
ATT0007041,17-10-2025,SCH-0491,5,88,71,1,Headmaster
ATT0008608,17-01-2026,SCH-0362,6,270,242,1,Admin
ATT0010181,22-04-2025,SCH-0121,4,49,39,0,Headmaster
ATT0000922,11-01-2026,SCH-0267,6,245,245,1,Headmaster
ATT0001087,04-09-2025,SCH-0183,7,155,126,1,Headmaster
ATT0005703,28-01-2026,SCH-0395,7,284,256,1,Not Recorded
ATT0010842,18-05-2025,SCH-0064,9,267,201,1,Class Teacher
ATT0011321,10-04-2025,SCH-0036,2,46,43,1,Not Recorded
ATT0003227,17-08-2025,SCH-0388,5,258,278,1,Headmaster
ATT0002700,25-11-2025,SCH-0005,2,127,81,0,Admin
ATT0013210,30-12-2025,SCH-0174,4,276,186,1,Headmaster
ATT0019349,29-08-2025,SCH-0035,5,102,79,0,Clerk
ATT0001363,22-11-2025,SCH-0435,3,277,260,0,Clerk
ATT0005785,30-07-2025,SCH-0018,1,291,281,1,Headmaster
ATT0006410,29-12-2025,SCH-0513,4,293,184,0,Class Teacher
ATT0014164,09-07-2025,SCH-0480,1,94,113,1,Clerk
,19-10-2025,SCH-0114,4,88,61,1,Headmaster
ATT0002233,22-06-2025,SCH-0485,5,119,119,1,Class Teacher
ATT0007454,06-08-2025,SCH-0460,4,44,39,1,Admin
ATT0005953,22-04-2025,SCH-0221,6,127,115,1,Headmaster
ATT0009793,18-09-2025,SCH-0265,6,170,124,0,Clerk
ATT0003464,10-07-2025,SCH-0117,3,61,38,1,Admin
ATT0018821,30-04-2025,SCH-0554,10,136,92,1,Class Teacher
ATT0005200,22-03-2026,SCH-0021,6,121,106,0,Clerk
ATT0017087,05-01-2026,SCH-0188,3,120,109,0,Headmaster
ATT0005364,08-02-2026,SCH-0349,2,236,214,0,Admin
ATT0004581,29-06-2025,SCH-0035,6,75,75,1,Not Recorded
ATT0011593,05-08-2025,SCH-0461,3,61,37,1,Not Recorded
ATT0015101,08-03-2026,SCH-0107,10,58,54,0,Admin
ATT0002130,02-08-2025,SCH-0335,3,168,136,1,Admin
,03-06-2025,SCH-0376,5,191,143,1,Headmaster
ATT0013385,21-07-2025,SCH-0364,7,172,184,0,Not Recorded
ATT0005184,05-08-2025,SCH-0277,5,207,181,0,Headmaster
ATT0018907,22-08-2025,SCH-0387,5,153,116,1,Class Teacher
ATT0014492,19-10-2025,SCH-0008,1,59,59,1,Headmaster
ATT0015994,06-05-2025,SCH-0509,3,293,193,1,Clerk
ATT0011806,14-07-2025,SCH-0091,1,284,229,1,Headmaster
ATT0014977,03-09-2025,SCH-0474,3,165,133,1,Admin
ATT0002685,01-04-2025,SCH-0015,7,199,159,1,Headmaster
ATT0016244,09-05-2025,SCH-0185,8,173,109,1,Admin
ATT0014465,31-03-2026,SCH-0370,4,134,116,1,Not Recorded
ATT0016583,11-06-2025,SCH-0482,1,257,163,1,Not Recorded
ATT0001384,18-03-2026,SCH-0399,10,97,68,1,Clerk
ATT0013506,02-07-2025,SCH-0082,5,148,115,0,Headmaster
ATT0018852,27-08-2025,SCH-0539,1,265,204,1,Not Recorded
ATT0012291,04-11-2025,SCH-0173,7,209,137,1,Not Recorded
ATT0002749,27-08-2025,SCH-0464,4,269,246,1,Class Teacher
ATT0009453,31-01-2026,SCH-0080,5,41,26,1,Admin
ATT0016697,06-10-2025,SCH-0099,3,117,101,1,Headmaster
ATT0002636,16-10-2025,SCH-0341,9,207,175,0,Clerk
ATT0016023,31-07-2025,SCH-0312,8,140,132,1,Class Teacher
ATT0010000,19-12-2025,SCH-0569,8,217,189,1,Class Teacher
ATT0006235,03-04-2025,SCH-0412,8,177,139,1,Headmaster
ATT0000170,30-04-2025,SCH-0296,4,191,145,0,Clerk
ATT0015398,22-03-2026,SCH-0217,4,85,85,1,Headmaster
ATT0017467,08-08-2025,SCH-0330,1,164,119,0,Not Recorded
ATT0006109,30-09-2025,SCH-0448,4,178,118,1,Headmaster
ATT0013163,21-07-2025,SCH-0326,10,254,165,1,Headmaster
ATT0018704,30-04-2025,SCH-0159,1,61,44,1,Not Recorded
ATT0008507,27-03-2026,SCH-0099,3,46,52,1,Not Recorded
ATT0013611,04-02-2026,SCH-0228,2,97,58,0,Not Recorded
ATT0006629,23-01-2026,SCH-0541,9,271,223,1,Headmaster
ATT0012923,31-08-2025,SCH-0174,3,139,139,1,Clerk
ATT0000554,13-04-2025,SCH-0446,1,286,178,1,Not Recorded
ATT0009654,28-11-2025,SCH-0571,2,195,134,1,Not Recorded
ATT0015557,19-05-2025,SCH-0155,6,100,97,0,Not Recorded
ATT0005569,18-07-2025,SCH-0248,1,131,86,1,Clerk
ATT0004853,07-03-2026,SCH-0437,4,111,98,1,Headmaster
ATT0012065,21-12-2025,SCH-0034,9,261,198,1,Not Recorded
ATT0000138,02-10-2025,SCH-0464,2,184,173,1,Admin
ATT0008232,11-02-2026,SCH-0555,3,249,162,1,Headmaster
ATT0004915,27-01-2026,SCH-0141,5,113,123,1,Admin
ATT0003985,10-09-2025,SCH-0007,9,217,149,1,Not Recorded
ATT0006224,10-07-2025,SCH-0248,2,209,138,1,Not Recorded
ATT0012288,14-11-2025,SCH-0592,5,57,43,1,Headmaster
ATT0005690,29-11-2025,SCH-0394,4,154,134,1,Headmaster
ATT0010578,29-08-2025,SCH-0304,2,141,86,1,Class Teacher
ATT0014506,09-02-2026,SCH-0345,4,168,101,0,Admin
ATT0008828,16-12-2025,SCH-0278,8,46,32,1,Admin
ATT0012006,20-12-2025,SCH-0044,3,219,185,1,Class Teacher
ATT0004449,01-09-2025,SCH-0350,1,130,124,0,Admin
ATT0008089,13-01-2026,SCH-0323,10,62,52,0,Headmaster
ATT0006816,14-06-2025,SCH-0217,8,292,261,1,Headmaster
ATT0005175,30-10-2025,SCH-0387,4,131,126,0,Headmaster
ATT0008764,26-02-2026,SCH-0576,4,276,265,1,Clerk
,13-04-2025,SCH-0430,8,68,63,1,Admin
ATT0005216,24-05-2025,SCH-0422,4,75,51,0,Admin
ATT0014571,06-09-2025,SCH-0215,3,78,52,1,Admin
ATT0016026,28-06-2025,SCH-0041,5,217,200,0,Headmaster
ATT0008676,01-05-2025,SCH-0351,4,242,218,1,Admin
ATT0017502,26-04-2025,SCH-0253,9,269,200,0,Clerk
ATT0013620,01-06-2025,SCH-0093,4,158,101,1,Headmaster
ATT0003539,15-05-2025,SCH-0510,3,56,52,1,Headmaster
ATT0001398,28-09-2025,SCH-0199,4,153,116,1,Admin
ATT0017231,04-10-2025,SCH-0489,3,41,30,1,Class Teacher
ATT0008526,25-12-2025,SCH-0327,5,228,169,1,Class Teacher
ATT0016288,04-06-2025,SCH-0557,9,149,139,1,Not Recorded
ATT0007842,16-09-2025,SCH-0475,8,107,102,1,Headmaster
,16-11-2025,SCH-0438,5,98,98,1,Headmaster
ATT0012805,22-08-2025,SCH-0281,4,288,274,0,Clerk
ATT0013359,05-02-2026,SCH-0177,4,277,221,1,Clerk
ATT0004346,02-10-2025,SCH-0492,7,296,209,1,Clerk
ATT0007052,06-08-2025,SCH-0355,6,95,79,1,Class Teacher
ATT0010591,02-06-2025,SCH-0585,1,251,227,1,Class Teacher
ATT0002513,24-08-2025,SCH-0210,3,211,211,1,Headmaster
ATT0010444,11-03-2026,SCH-0435,7,41,41,0,Clerk
ATT0009772,01-08-2025,SCH-0424,5,79,72,1,Admin
ATT0012001,01-07-2025,SCH-0340,2,54,47,1,Class Teacher
ATT0007659,27-12-2025,SCH-0324,8,234,162,1,Headmaster
ATT0006873,13-08-2025,SCH-0524,5,247,229,1,Admin
ATT0009072,05-01-2026,SCH-0377,3,207,127,1,Clerk
ATT0003036,07-10-2025,SCH-0016,1,176,130,1,Headmaster
ATT0008059,18-08-2025,SCH-0051,1,298,235,1,Headmaster
ATT0017319,30-09-2025,SCH-0495,7,201,135,1,Class Teacher
ATT0002496,19-06-2025,SCH-0465,6,136,101,1,Clerk
ATT0004936,20-04-2025,SCH-0205,4,139,132,0,Class Teacher
ATT0010927,11-04-2025,SCH-0343,3,240,188,1,Headmaster
ATT0019456,11-07-2025,SCH-0295,2,150,92,0,Headmaster
ATT0008044,02-01-2026,SCH-0511,1,255,158,1,Headmaster
ATT0015634,06-04-2025,SCH-0071,10,166,166,1,Headmaster
ATT0002086,22-11-2025,SCH-0334,5,240,233,1,Not Recorded
,13-10-2025,SCH-0070,1,72,67,0,Class Teacher
ATT0017173,14-01-2026,SCH-0216,2,59,76,0,Admin
ATT0009367,29-11-2025,SCH-0230,2,112,112,0,Headmaster
ATT0004820,07-07-2025,SCH-0471,5,211,189,1,Clerk
ATT0016561,05-07-2025,SCH-0508,1,83,76,1,Class Teacher
ATT0011236,16-01-2026,SCH-0505,3,188,125,0,Not Recorded
ATT0016770,14-06-2025,SCH-0341,9,67,45,1,Admin
ATT0011248,07-09-2025,SCH-0599,5,98,98,1,Headmaster
,28-09-2025,SCH-0090,4,271,172,1,Headmaster
ATT0015040,29-06-2025,SCH-0111,2,179,172,1,Headmaster
ATT0008620,27-07-2025,SCH-0291,5,131,131,1,Admin
ATT0008243,25-05-2025,SCH-0017,8,269,208,0,Class Teacher
ATT0010014,17-06-2025,SCH-0536,8,292,197,1,Admin
ATT0017219,02-11-2025,SCH-0201,6,203,203,1,Not Recorded
ATT0007761,28-07-2025,SCH-0023,3,250,196,1,Class Teacher
ATT0017497,18-06-2025,SCH-0292,8,53,47,1,Not Recorded
ATT0012258,28-06-2025,SCH-0079,2,123,105,0,Headmaster
ATT0007851,10-08-2025,SCH-0067,3,293,293,1,Class Teacher
ATT0017367,24-10-2025,SCH-0478,3,280,266,0,Admin
ATT0005519,19-06-2025,SCH-0553,4,286,286,1,Clerk
ATT0017069,19-11-2025,SCH-0468,1,214,156,1,Class Teacher
ATT0006591,25-07-2025,SCH-0409,4,104,94,1,Not Recorded
ATT0010831,10-01-2026,SCH-0099,7,239,257,1,Clerk
ATT0013306,31-08-2025,SCH-0112,3,181,181,0,Not Recorded
ATT0000715,28-11-2025,SCH-0014,10,123,91,0,Admin
ATT0002679,21-01-2026,SCH-0069,4,225,181,0,Admin
ATT0004752,11-04-2025,SCH-0201,5,175,166,1,Headmaster
ATT0008014,19-10-2025,SCH-0077,5,300,300,0,Clerk
ATT0014599,26-07-2025,SCH-0140,3,191,136,0,Not Recorded
ATT0015333,26-07-2025,SCH-0458,1,259,251,1,Not Recorded
ATT0016656,29-10-2025,SCH-0143,1,209,209,1,Admin
ATT0008378,28-12-2025,SCH-0118,2,190,148,1,Clerk
ATT0013006,24-09-2025,SCH-0547,4,165,99,1,Class Teacher
ATT0009817,06-09-2025,SCH-0252,1,189,157,0,Not Recorded
ATT0000007,10-03-2026,SCH-0182,2,179,117,1,Clerk
ATT0008248,05-09-2025,SCH-0415,5,72,65,1,Class Teacher
ATT0004049,24-07-2025,SCH-0462,2,107,98,1,Class Teacher
ATT0007460,28-05-2025,SCH-0111,1,71,64,0,Not Recorded
ATT0014281,20-03-2026,SCH-0526,5,102,72,1,Headmaster
ATT0016229,29-04-2025,SCH-0077,2,239,146,0,Class Teacher
ATT0005648,14-04-2025,SCH-0128,8,166,120,1,Admin
ATT0017613,10-05-2025,SCH-0497,6,147,135,1,Not Recorded
ATT0003209,17-12-2025,SCH-0146,2,195,132,1,Admin
ATT0013269,08-12-2025,SCH-0224,10,236,163,1,Headmaster
ATT0013767,19-11-2025,SCH-0486,5,148,142,0,Headmaster
ATT0006425,18-04-2025,SCH-0300,2,253,226,1,Clerk
ATT0003335,07-07-2025,SCH-0483,1,117,83,1,Headmaster
ATT0018282,06-06-2025,SCH-0320,4,135,120,1,Admin
ATT0009431,14-02-2026,SCH-0600,4,181,169,1,Clerk
ATT0010224,28-09-2025,SCH-0036,5,213,213,1,Headmaster
ATT0003726,29-03-2026,SCH-0012,6,200,186,1,Class Teacher
ATT0004931,29-07-2025,SCH-0472,3,106,103,0,Headmaster
ATT0015809,19-08-2025,SCH-0100,4,260,187,0,Headmaster
ATT0018210,11-05-2025,SCH-0567,5,136,104,1,Headmaster
ATT0015835,15-02-2026,SCH-0528,3,58,58,1,Headmaster
ATT0017843,18-10-2025,SCH-0572,6,211,190,1,Headmaster
ATT0006872,01-03-2026,SCH-0139,5,197,161,1,Not Recorded
ATT0001024,13-03-2026,SCH-0406,4,57,34,1,Clerk
ATT0006046,15-09-2025,SCH-0578,4,146,118,0,Headmaster
ATT0016574,02-05-2025,SCH-0178,9,242,214,1,Class Teacher
ATT0017229,23-09-2025,SCH-0478,2,191,116,1,Admin
ATT0007503,11-03-2026,SCH-0183,10,123,113,1,Class Teacher
ATT0012367,21-05-2025,SCH-0257,2,279,239,0,Class Teacher
ATT0014771,30-04-2025,SCH-0311,10,162,112,0,Headmaster
ATT0008165,15-01-2026,SCH-0347,10,75,68,1,Class Teacher
ATT0019916,26-02-2026,SCH-0207,5,206,182,0,Class Teacher
ATT0004742,02-05-2025,SCH-0093,1,159,98,0,Class Teacher
ATT0003069,20-07-2025,SCH-0469,10,162,134,1,Headmaster
ATT0008726,04-09-2025,SCH-0560,1,199,190,1,Admin
ATT0014586,25-07-2025,SCH-0275,3,280,253,1,Class Teacher
ATT0006062,13-02-2026,SCH-0428,1,123,92,1,Not Recorded
ATT0014274,14-08-2025,SCH-0367,8,213,136,1,Admin
ATT0006096,27-05-2025,SCH-0443,5,200,194,1,Headmaster
ATT0006307,01-02-2026,SCH-0481,7,95,66,1,Headmaster
ATT0013939,26-01-2026,SCH-0495,3,189,182,1,Admin
ATT0016433,19-07-2025,SCH-0518,2,205,180,0,Class Teacher
ATT0018861,23-05-2025,SCH-0159,7,42,33,1,Admin
ATT0009518,02-08-2025,SCH-0265,3,267,217,0,Not Recorded
ATT0008132,17-07-2025,SCH-0017,2,150,90,1,Not Recorded
ATT0011629,04-02-2026,SCH-0486,10,190,169,1,Not Recorded
ATT0018535,16-10-2025,SCH-0309,4,51,46,1,Class Teacher
ATT0010600,14-01-2026,SCH-0054,2,47,29,1,Headmaster
ATT0002112,28-02-2026,SCH-0205,3,201,179,1,Class Teacher
,11-01-2026,SCH-0137,3,150,150,1,Headmaster
ATT0013560,11-11-2025,SCH-0131,7,278,238,1,Admin
ATT0017190,20-03-2026,SCH-0533,5,211,169,1,Not Recorded
ATT0016410,14-05-2025,SCH-0434,1,70,47,0,Class Teacher
ATT0009675,01-04-2025,SCH-0028,9,230,204,1,Headmaster
ATT0008269,03-03-2026,SCH-0286,3,65,40,0,Not Recorded
ATT0006601,06-01-2026,SCH-0153,3,213,151,1,Headmaster
ATT0005346,10-02-2026,SCH-0449,4,273,176,1,Class Teacher
ATT0005383,27-04-2025,SCH-0512,1,238,225,0,Admin
ATT0015583,23-03-2026,SCH-0007,8,143,91,1,Headmaster
ATT0000559,05-06-2025,SCH-0245,9,189,175,1,Not Recorded
ATT0018225,09-08-2025,SCH-0426,4,177,157,1,Class Teacher
ATT0007347,27-01-2026,SCH-0282,8,119,98,1,Not Recorded
ATT0010740,31-12-2025,SCH-0270,2,64,64,1,Headmaster
ATT0006975,02-12-2025,SCH-0230,3,71,59,0,Class Teacher
ATT0016086,23-08-2025,SCH-0301,7,70,49,1,Class Teacher
ATT0009540,17-08-2025,SCH-0451,3,110,110,1,Headmaster
ATT0002728,14-09-2025,SCH-0534,4,250,222,1,Headmaster
ATT0008410,29-11-2025,SCH-0113,5,145,141,1,Admin
ATT0010685,02-03-2026,SCH-0216,10,277,260,0,Headmaster
ATT0017754,29-08-2025,SCH-0138,2,130,85,1,Headmaster
ATT0017346,16-11-2025,SCH-0463,9,272,179,1,Not Recorded
ATT0018261,13-06-2025,SCH-0222,5,54,51,1,Admin
ATT0004033,04-07-2025,SCH-0533,3,159,100,1,Not Recorded
ATT0014119,21-01-2026,SCH-0386,1,288,192,1,Admin
,10-03-2026,SCH-0142,2,288,259,1,Class Teacher
ATT0009160,29-04-2025,SCH-0081,3,104,104,1,Not Recorded
ATT0007794,22-07-2025,SCH-0486,3,130,121,1,Headmaster
ATT0011785,31-08-2025,SCH-0449,1,123,123,0,Clerk
ATT0017525,18-09-2025,SCH-0588,2,60,57,1,Not Recorded
ATT0003923,24-05-2025,SCH-0384,7,170,146,1,Headmaster
ATT0009401,04-03-2026,SCH-0436,3,266,213,0,Headmaster
ATT0007020,04-01-2026,SCH-0147,2,105,105,1,Headmaster
ATT0006317,15-06-2025,SCH-0004,5,180,180,1,Not Recorded
ATT0018087,22-08-2025,SCH-0561,10,104,71,0,Not Recorded
ATT0008574,25-05-2025,SCH-0225,10,273,273,1,Not Recorded
ATT0013061,04-02-2026,SCH-0054,10,272,225,0,Headmaster
ATT0001471,31-10-2025,SCH-0030,5,236,177,1,Clerk
ATT0018801,14-06-2025,SCH-0207,2,269,184,1,Class Teacher
ATT0018673,05-09-2025,SCH-0104,3,299,186,0,Headmaster
ATT0011009,02-06-2025,SCH-0148,2,243,250,1,Admin
ATT0006419,20-04-2025,SCH-0072,3,59,55,0,Clerk
ATT0018463,16-05-2025,SCH-0442,2,289,204,1,Class Teacher
ATT0014964,17-11-2025,SCH-0596,2,292,241,1,Clerk
ATT0009053,22-07-2025,SCH-0550,2,204,172,1,Not Recorded
ATT0012244,17-11-2025,SCH-0019,5,78,74,1,Headmaster
ATT0004348,25-07-2025,SCH-0037,3,111,83,1,Headmaster
ATT0016112,02-01-2026,SCH-0408,10,172,160,0,Clerk
ATT0002989,03-09-2025,SCH-0060,5,66,41,1,Not Recorded
ATT0003264,19-01-2026,SCH-0398,8,81,88,1,Class Teacher
ATT0007792,17-09-2025,SCH-0299,5,40,40,1,Admin
ATT0006282,30-01-2026,SCH-0592,10,89,59,1,Not Recorded
ATT0016042,16-03-2026,SCH-0115,3,94,68,1,Admin
ATT0009779,14-05-2025,SCH-0463,2,97,70,1,Headmaster
ATT0013109,13-02-2026,SCH-0218,1,185,114,1,Headmaster
ATT0011154,18-02-2026,SCH-0473,1,297,239,0,Not Recorded
ATT0002253,19-09-2025,SCH-0053,4,267,199,1,Not Recorded
ATT0007342,28-03-2026,SCH-0472,4,292,249,0,Headmaster
ATT0007666,06-01-2026,SCH-0213,5,262,216,1,Clerk
ATT0001870,28-01-2026,SCH-0356,5,248,155,1,Admin
ATT0014794,20-08-2025,SCH-0343,2,68,47,1,Clerk
ATT0015672,17-11-2025,SCH-0436,8,168,115,1,Not Recorded
ATT0017463,07-09-2025,SCH-0151,3,126,122,1,Headmaster
ATT0014653,19-10-2025,SCH-0210,4,299,299,1,Clerk
ATT0012030,20-05-2025,SCH-0030,4,227,219,1,Not Recorded
ATT0007722,02-01-2026,SCH-0371,3,243,164,0,Not Recorded
ATT0017354,15-07-2025,SCH-0515,1,58,47,0,Headmaster
ATT0008104,07-01-2026,SCH-0130,9,104,73,1,Admin
ATT0016151,22-07-2025,SCH-0274,10,256,207,0,Headmaster
ATT0004956,05-12-2025,SCH-0579,9,226,156,1,Headmaster
ATT0016076,14-02-2026,SCH-0042,5,41,37,1,Not Recorded
ATT0001200,29-08-2025,SCH-0377,5,269,219,0,Not Recorded
ATT0004011,17-10-2025,SCH-0528,1,134,86,1,Admin
ATT0003526,19-09-2025,SCH-0340,2,169,169,1,Headmaster
ATT0001278,12-01-2026,SCH-0084,1,209,133,1,Clerk
ATT0006927,23-05-2025,SCH-0068,6,150,119,1,Class Teacher
ATT0008456,14-10-2025,SCH-0151,1,153,136,0,Class Teacher
ATT0010982,12-09-2025,SCH-0175,5,103,86,1,Class Teacher
ATT0000716,08-10-2025,SCH-0591,2,217,193,1,Headmaster
ATT0001671,16-04-2025,SCH-0171,7,282,208,1,Headmaster
ATT0013749,10-02-2026,SCH-0154,4,151,151,1,Headmaster
ATT0011103,22-12-2025,SCH-0523,6,149,140,1,Class Teacher
ATT0008352,24-06-2025,SCH-0201,2,244,207,1,Admin
ATT0008046,05-09-2025,SCH-0394,3,63,59,1,Not Recorded
ATT0000362,08-08-2025,SCH-0118,4,82,53,1,Headmaster
ATT0015485,16-07-2025,SCH-0573,1,230,143,0,Admin
ATT0004157,23-09-2025,SCH-0468,5,99,90,1,Not Recorded
ATT0017777,14-05-2025,SCH-0560,4,109,71,1,Clerk
ATT0005459,15-01-2026,SCH-0225,8,290,233,0,Headmaster
ATT0007797,04-06-2025,SCH-0408,2,221,187,1,Admin
ATT0009255,09-02-2026,SCH-0314,3,109,70,1,Clerk
ATT0011916,01-01-2026,SCH-0340,2,91,72,0,Clerk
ATT0009926,20-05-2025,SCH-0491,4,221,177,0,Headmaster
ATT0011793,06-12-2025,SCH-0474,3,197,142,1,Admin
ATT0017375,06-08-2025,SCH-0295,1,266,258,1,Class Teacher
ATT0007667,03-03-2026,SCH-0289,1,142,87,0,Admin
ATT0003025,15-07-2025,SCH-0238,4,84,54,1,Class Teacher
ATT0013321,19-08-2025,SCH-0203,5,279,250,0,Headmaster
ATT0012409,14-01-2026,SCH-0190,8,106,86,1,Headmaster
ATT0013476,10-04-2025,SCH-0573,5,242,155,1,Class Teacher
ATT0009641,07-10-2025,SCH-0580,5,48,31,1,Clerk
ATT0005573,14-01-2026,SCH-0047,1,128,123,1,Clerk
ATT0017667,22-09-2025,SCH-0243,3,120,112,1,Clerk
ATT0001158,15-06-2025,SCH-0026,2,288,288,1,Headmaster
ATT0005946,21-01-2026,SCH-0162,3,136,117,1,Headmaster
ATT0013015,04-03-2026,SCH-0218,5,132,92,1,Not Recorded
ATT0006491,19-05-2025,SCH-0060,8,68,52,1,Headmaster
ATT0008193,19-06-2025,SCH-0495,1,253,217,1,Headmaster
